Title,URL,Image URL,Price,Rating,Review Count
Apple iPhone 15 (256 GB) - Green,https://www.amazon.in/Apple-iPhone-15-256-GB/dp/B0CHX41VNZ?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71nvkHnPpZL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹82,999.00M.R.P.:₹89,900.00(8%off)",4.5 out of 5 stars,777
Apple iPhone 15 (256 GB) - Pink,https://www.amazon.in/Apple-iPhone-15-256-GB/dp/B0CHX4CRND?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71v2jVh6nIL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹84,900.00M.R.P.:₹89,900.00(6%off)",4.5 out of 5 stars,777
Apple iPhone 15 (256 GB) - Yellow,https://www.amazon.in/Apple-iPhone-15-256-GB/dp/B0CHX8JCXN?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71REplb5oZL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹84,900.00M.R.P.:₹89,900.00(6%off)",4.5 out of 5 stars,777
Apple iPhone 15 (512 GB) - Black,https://www.amazon.in/Apple-iPhone-15-512-GB/dp/B0CHX9MF1L?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71657TiFeHL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,01,900.00M.R.P.:₹1,09,900.00(7%off)",4.5 out of 5 stars,777
Apple iPhone 15 (512 GB) - Blue,https://www.amazon.in/Apple-iPhone-15-512-GB/dp/B0CHXB1PT6?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71d7rfSl0wL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,01,900.00M.R.P.:₹1,09,999.00(7%off)",4.5 out of 5 stars,777
Apple iPhone 15 (512 GB) - Green,https://www.amazon.in/Apple-iPhone-15-512-GB/dp/B0CHX2XFJJ?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71nvkHnPpZL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,01,900.00M.R.P.:₹1,09,900.00(7%off)",4.5 out of 5 stars,777
Apple iPhone 15 (512 GB) - Pink,https://www.amazon.in/Apple-iPhone-15-512-GB/dp/B0CHWWNKS6?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71v2jVh6nIL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,01,900.00M.R.P.:₹1,09,900.00(7%off)",4.5 out of 5 stars,777
Apple iPhone 15 (512 GB) - Yellow,https://www.amazon.in/Apple-iPhone-15-512-GB/dp/B0CHX3QB9M?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71REplb5oZL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,09,900.00",4.5 out of 5 stars,777
Apple iPhone 15 Plus (128 GB) - Black,https://www.amazon.in/Apple-iPhone-15-Plus-128/dp/B0CHXCR9CX?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71zFRCcMS2L._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹82,999.00M.R.P.:₹89,900.00(8%off)",4.5 out of 5 stars,392
Apple iPhone 15 Plus (128 GB) - Blue,https://www.amazon.in/Apple-iPhone-15-Plus-128/dp/B0CHX6X2WW?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71PjpS59XLL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹84,900.00M.R.P.:₹89,900.00(6%off)",4.5 out of 5 stars,392
Apple iPhone 15 Plus (128 GB) - Green,https://www.amazon.in/Apple-iPhone-15-Plus-128/dp/B0CHWZCY43?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71ZP6U9sWTL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹82,999.00M.R.P.:₹89,900.00(8%off)",4.5 out of 5 stars,392
Apple iPhone 15 Plus (128 GB) - Pink,https://www.amazon.in/Apple-iPhone-15-Plus-128/dp/B0CHWYXK1R?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71bErtQPC3L._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹82,999.00M.R.P.:₹89,900.00(8%off)",4.5 out of 5 stars,392
Apple iPhone 15 Plus (128 GB) - Yellow,https://www.amazon.in/Apple-iPhone-15-Plus-128/dp/B0CHX3D519?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/713d2it9mhL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹82,999.00M.R.P.:₹89,900.00(8%off)",4.5 out of 5 stars,392
Apple iPhone 15 Plus (256 GB) - Black,https://www.amazon.in/Apple-iPhone-15-Plus-256/dp/B0CHX488V6?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71zFRCcMS2L._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹92,999.00M.R.P.:₹99,900.00(7%off)",4.5 out of 5 stars,392
Apple iPhone 15 Plus (256 GB) - Blue,https://www.amazon.in/Apple-iPhone-15-Plus-256/dp/B0CHXDVMVP?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71PjpS59XLL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹92,999.00M.R.P.:₹99,900.00(7%off)",4.5 out of 5 stars,392
Apple iPhone 15 Plus (256 GB) - Green,https://www.amazon.in/Apple-iPhone-15-Plus-256/dp/B0CHX75CR7?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71ZP6U9sWTL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹94,900.00M.R.P.:₹99,900.00(5%off)",4.5 out of 5 stars,392
Apple iPhone 15 Plus (256 GB) - Pink,https://www.amazon.in/Apple-iPhone-15-Plus-256/dp/B0CHX7STQQ?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71bErtQPC3L._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹94,900.00M.R.P.:₹99,900.00(5%off)",4.5 out of 5 stars,392
